Crank Angle,Lift %,Opens at,Closes at
0,0.055,712,224
2,0.076,,
4,0.12,,
6,0.155,,
8,0.19,,
10,0.225,,
12,0.26,,
14,0.295,,
16,0.33,,
18,0.365,,
20,0.4,,
22,0.435,,
24,0.47,,
26,0.505,,
28,0.54,,
30,0.575,,
32,0.61,,
34,0.645,,
36,0.68,,
38,0.715,,
40,0.75,,
42,0.785,,
44,0.825,,
46,0.86,,
48,0.89,,
50,0.92,,
52,0.95,,
54,0.97,,
56,0.98,,
58,0.99995,,
60,1,,
62,1,,
64,1,,
66,1,,
68,1,,
70,1,,
72,1,,
74,1,,
76,1,,
78,1,,
80,1,,
82,1,,
84,1,,
86,1,,
88,1,,
90,1,,
92,1,,
94,1,,
96,1,,
98,1,,
100,1,,
102,1,,
104,1,,
106,1,,
108,1,,
110,1,,
112,1,,
114,1,,
116,1,,
118,1,,
120,1,,
122,1,,
124,1,,
126,1,,
128,1,,
130,1,,
132,1,,
134,1,,
136,1,,
138,1,,
140,1,,
142,1,,
144,1,,
146,1,,
148,1,,
150,1,,
152,1,,
154,0.99995,,
156,0.98,,
158,0.97,,
160,0.95,,
162,0.92,,
164,0.89,,
166,0.86,,
168,0.825,,
170,0.785,,
172,0.75,,
174,0.715,,
176,0.68,,
178,0.645,,
180,0.61,,
182,0.575,,
184,0.54,,
186,0.505,,
188,0.47,,
190,0.435,,
192,0.4,,
194,0.365,,
196,0.33,,
198,0.295,,
200,0.26,,
202,0.225,,
204,0.19,,
206,0.155,,
208,0.12,,
210,0.076,,
212,0.055,,
214,0.04,,
216,0.028,,
218,0.02,,
220,0.01,,
222,0.005,,
224,0.002,,
226,0,,
228,0,,
230,0,,
232,0,,
234,0,,
236,0,,
238,0,,
240,0,,
242,0,,
244,0,,
246,0,,
248,0,,
250,0,,
252,0,,
254,0,,
256,0,,
258,0,,
260,0,,
262,0,,
264,0,,
266,0,,
268,0,,
270,0,,
272,0,,
274,0,,
276,0,,
278,0,,
280,0,,
282,0,,
284,0,,
286,0,,
288,0,,
290,0,,
292,0,,
294,0,,
296,0,,
298,0,,
300,0,,
302,0,,
304,0,,
306,0,,
308,0,,
310,0,,
312,0,,
314,0,,
316,0,,
318,0,,
320,0,,
322,0,,
324,0,,
326,0,,
328,0,,
330,0,,
332,0,,
334,0,,
336,0,,
338,0,,
340,0,,
342,0,,
344,0,,
346,0,,
348,0,,
350,0,,
352,0,,
354,0,,
356,0,,
358,0,,
360,0,,
362,0,,
364,0,,
366,0,,
368,0,,
370,0,,
372,0,,
374,0,,
376,0,,
378,0,,
380,0,,
382,0,,
384,0,,
386,0,,
388,0,,
390,0,,
392,0,,
394,0,,
396,0,,
398,0,,
400,0,,
402,0,,
404,0,,
406,0,,
408,0,,
410,0,,
412,0,,
414,0,,
416,0,,
418,0,,
420,0,,
422,0,,
424,0,,
426,0,,
428,0,,
430,0,,
432,0,,
434,0,,
436,0,,
438,0,,
440,0,,
442,0,,
444,0,,
446,0,,
448,0,,
450,0,,
452,0,,
454,0,,
456,0,,
458,0,,
460,0,,
462,0,,
464,0,,
466,0,,
468,0,,
470,0,,
472,0,,
474,0,,
476,0,,
478,0,,
480,0,,
482,0,,
484,0,,
486,0,,
488,0,,
490,0,,
492,0,,
494,0,,
496,0,,
498,0,,
500,0,,
502,0,,
504,0,,
506,0,,
508,0,,
510,0,,
512,0,,
514,0,,
516,0,,
518,0,,
520,0,,
522,0,,
524,0,,
526,0,,
528,0,,
530,0,,
532,0,,
534,0,,
536,0,,
538,0,,
540,0,,
542,0,,
544,0,,
546,0,,
548,0,,
550,0,,
552,0,,
554,0,,
556,0,,
558,0,,
560,0,,
562,0,,
564,0,,
566,0,,
568,0,,
570,0,,
572,0,,
574,0,,
576,0,,
578,0,,
580,0,,
582,0,,
584,0,,
586,0,,
588,0,,
590,0,,
592,0,,
594,0,,
596,0,,
598,0,,
600,0,,
602,0,,
604,0,,
606,0,,
608,0,,
610,0,,
612,0,,
614,0,,
616,0,,
618,0,,
620,0,,
622,0,,
624,0,,
626,0,,
628,0,,
630,0,,
632,0,,
634,0,,
636,0,,
638,0,,
640,0,,
642,0,,
644,0,,
646,0,,
648,0,,
650,0,,
652,0,,
654,0,,
656,0,,
658,0,,
660,0,,
662,0,,
664,0,,
666,0,,
668,0,,
670,0,,
672,0,,
674,0,,
676,0,,
678,0,,
680,0,,
682,0,,
684,0,,
686,0,,
688,0,,
690,0,,
692,0,,
694,0,,
696,0,,
698,0,,
700,0,,
702,0,,
704,0,,
706,0,,
708,0,,
710,0,,
712,0.005,,
714,0.01,,
716,0.02,,
718,0.028,,
720,0.04,,
